,0¡®s,1¡®s,2¡®s,3¡®s,4¡®s,5¡®s,6¡®s,7¡®s,8¡®s,9¡®s
0's,0,0.001361162,0.007701564,0.002121641,0.002925402,0.009081736,0.007255139,0.001640497,0.006832601,0.003605769
1's,0.007940109,0,0.008124577,0.004426737,0.001142074,0.003773585,0.002493766,0.004182258,0.016232282,0.002479711
2's,0.017814155,0.025056433,0,0.017584994,0.010666667,0.013293203,0.00986051,0.008391608,0.019898083,0.005737509
3's,0.015798161,0.018817799,0.043162092,0,0.003561254,0.027491409,0.004240283,0.008681745,0.024001901,0.012880562
4's,0.009263774,0.010735496,0.022065955,0.017098076,0,0.00482969,0.002436054,0.008496578,0.004178958,0.024697337
5's,0.028009084,0.017221043,0.033375157,0.063359528,0.021357742,0,0.021678851,0.003415467,0.025954198,0.009268537
6's,0.022012579,0.007256236,0.028152069,0.012962527,0.016812865,0.03556116,0,0.000468384,0.010241405,0.001201057
7's,0.00867323,0.014531044,0.028684701,0.023771429,0.024551464,0.0141567,0.005623243,0,0.00519726,0.028405122
8's,0.017329753,0.035902127,0.04248604,0.057774608,0.01647406,0.054226069,0.019029031,0.01914441,0,0.01236064
9's,0.011778846,0.015554554,0.023433764,0.028109628,0.052542373,0.024054122,0.010091302,0.05123428,0.028606061,0
